,Parent Org,Org name,A&E attendances Type 1,Total Admissions,Type 1 Proportion attendances over 4hrs,Proportion waiting over 4hrs for admission,Proportion waiting over 12hrs for admission
151,NHS ENGLAND SOUTH EAST ,EAST SUSSEX HEALTHCARE NHS TRUST,9829,3143,0.5502085664869264,0.10594972955774737,0.001590836780146357
152,NHS ENGLAND NORTH WEST ,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,12360,3068,0.35453074433656956,0.5863754889178618,0.049869621903520206
153,NHS ENGLAND NORTH EAST AND YORKSHIRE ,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,12338,4114,0.5665423893661857,0.4574623237724842,0.1922702965483714
155,NHS ENGLAND SOUTH EAST ,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,19580,6015,0.6031664964249234,0.6182876142975894,0.2793017456359102
156,NHS ENGLAND LONDON,BARTS HEALTH NHS TRUST,24671,5104,0.5265696566819342,0.8918495297805643,0.2225705329153605
157,NHS ENGLAND LONDON,ROYAL FREE LONDON NHS FOUNDATION TRUST,22822,3408,0.4728332310928052,0.5715962441314554,0.204518779342723
158,NHS ENGLAND LONDON,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,8684,1831,0.5814140948871488,0.7782632441288914,0.4691425450573457
159,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,8803,2590,0.6003635124389413,0.37258687258687256,0.024324324324324326
160,NHS ENGLAND EAST OF ENGLAND ,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6911,1798,0.46230646794964547,0.550055617352614,0.24026696329254726
161,NHS ENGLAND LONDON,LEWISHAM AND GREENWICH NHS TRUST,14788,3549,0.5804706518799027,0.5922795153564384,0.24626655395886166
162,NHS ENGLAND LONDON,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9245,2379,0.3276365603028664,0.4775115594787726,0.30853299705758724
163,NHS ENGLAND SOUTH EAST ,MEDWAY NHS FOUNDATION TRUST,8230,2247,0.5611178614823815,0.5416110369381397,0.24922118380062305
164,NHS ENGLAND LONDON,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,21483,2776,0.0,0.5147694524495677,0.01260806916426513
165,NHS ENGLAND LONDON,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,11133,1993,0.3855205245666038,0.569493226292022,0.2880080280983442
166,NHS ENGLAND NORTH WEST ,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,7531,2535,0.5792059487451866,0.5680473372781065,0.37514792899408284
167,NHS ENGLAND LONDON,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,12492,2848,0.0,0.6393960674157303,0.09375
170,NHS ENGLAND NORTH WEST ,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,27069,6526,0.6680335439063135,0.6376034324241495,0.11952191235059761
171,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE ROTHERHAM NHS FOUNDATION TRUST,7885,2787,0.0,0.32651596698959456,0.014711158952278435
172,NHS ENGLAND SOUTH WEST ,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,5905,2150,0.49195596951735815,0.27209302325581397,0.07906976744186046
173,NHS ENGLAND NORTH WEST ,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,8828,2699,0.43497961033076576,0.5079659133012226,0.25083364208966286
174,NHS ENGLAND NORTH WEST ,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,8653,2097,0.38807350052005085,0.4029566046733429,0.16785884597043396
175,NHS ENGLAND SOUTH EAST ,ROYAL BERKSHIRE NHS FOUNDATION TRUST,12875,2698,0.4446601941747573,0.29911045218680504,0.0
176,NHS ENGLAND LONDON,WHITTINGTON HEALTH NHS TRUST,9287,1056,0.3910843114030365,0.6401515151515151,0.3314393939393939
177,NHS ENGLAND NORTH WEST ,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,25323,7167,0.5584251470994748,0.3845402539416771,0.11120413004046323
178,NHS ENGLAND NORTH WEST ,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,8604,2250,0.5923988842398884,0.4488888888888889,0.13866666666666666
180,NHS ENGLAND MIDLANDS ,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,10759,2847,0.6100009294544103,0.49209694415173866,0.3378995433789954
181,NHS ENGLAND NORTH WEST ,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,8053,2280,0.5056500682975289,0.36403508771929827,0.04342105263157895
182,NHS ENGLAND SOUTH EAST ,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,12136,3938,0.5446605141727093,0.4085830370746572,0.0007618080243778568
186,NHS ENGLAND SOUTH EAST ,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,19245,4087,0.446557547414913,0.42745289943724,0.29116711524345484
187,NHS ENGLAND SOUTH EAST ,ISLE OF WIGHT NHS TRUST,3665,1150,0.4589358799454297,0.6382608695652174,0.2808695652173913
188,NHS ENGLAND LONDON,CROYDON HEALTH SERVICES NHS TRUST,13792,1288,0.4293793503480278,0.7492236024844721,0.41537267080745344
189,NHS ENGLAND NORTH WEST ,BOLTON NHS FOUNDATION TRUST,9293,2273,0.5746260626277844,0.47294324681038274,0.24681038275406952
190,NHS ENGLAND MIDLANDS ,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,12812,4191,0.5767249453637215,0.556907659269864,0.24671916010498687
191,NHS ENGLAND MIDLANDS ,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,7480,1856,0.4766042780748663,0.44935344827586204,0.00646551724137931
